question,category,answer,source_titles,number_of_sources,manual_evaluation,comment
Quels concerts de jazz sont disponibles à Paris ?,concert,"Voici les concerts de jazz disponibles à Paris selon les informations fournies :

1. **Chet Baker Tribute / Riccardo Del Fra Quartet**
   - **Date** : Jeudi 17 septembre 2026, 19h30 et 21h30
   - **Lieu** : JASS CLUB, 141 Rue de Tolbiac, Paris

2. **Le Grand Soir / Spécial Michel Legrand**
   - **Date** : Jeudi 3 septembre 2026, 19h30 et 21h30
   - **Lieu** : JASS CLUB, 141 Rue de Tolbiac, Paris

3. **TANA JAZZ NIGHT / Autour de Cécile McLorin, avec Flore Benguigui**
   - **Date** : Samedi 3 octobre 2026, 19h30 et 21h30
   - **Lieu** : JASS CLUB, 141 Rue de Tolbiac, Paris

4. **Gaël Horellou Organ Trio**
   - **Date** : Mercredi 16 septembre 2026, 19h30 et 21h30
   - **Lieu** : JASS CLUB, 141 Rue de Tolbiac, Paris","Chet Baker Tribute / Riccardo Del Fra Quartet | Le Grand Soir / Spécial Michel Legrand | TANA JAZZ NIGHT / Autour de Cécile McLorin, avec Flore Benguigui | Gaël Horellou Organ Trio | TANA JAZZ NIGHT / Jam session Jazz",5,correct,Plusieurs concerts de jazz pertinents sont proposés avec dates et lieux.
Quels concerts puis-je voir prochainement ?,concert,"Voici les concerts disponibles prochainement à Paris :

1. **L'Héritage Goldman - L'Aventure Continue**
   - **Date** : Dimanche 8 novembre 2026
   - **Lieu** : Le Dôme de Paris
   - **Style** : Chanson française (tribute à Jean-Jacques Goldman)

2. **THE 5 ROSIES, TRIBUTE TO ACDC**
   - **Date** : Jeudi 12 novembre 2026
   - **Lieu** : La Cigale
   - **Style** : Rock / Hard Rock

3. **Concert classique : Ravel, Debussy, Mozart, Vivaldi, Bach, etc.**
   - **Date** : Vendredi 18 septembre 2026
   - **Lieu** : Abbaye Saint-Germain-des-Prés
   - **Style** : Musique classique

4. **Génération Céline : Le Meilleur des Tributes**
   - **Date** : Vendredi 15 janvier 2027
   - **Lieu** : Zénith de Paris
   - **Style** : Chanson française (tribute à Céline Dion)

5. **ONE NIGHT OF QUEEN**
   - **Date** : Mardi 26 janvier 2027
   - **Lieu** : Zénith de Paris
   - **Style** : Rock (tribute à Queen)","THE 5 ROSIES, TRIBUTE TO ACDC | L'Héritage Goldman - L'Aventure Continue | Concert à Paris: Ravel, Debussy, Cantemir, Mozart, Vivaldi, Bach, Doppler, Piazzolla, Waxmann | Génération Céline Le Meilleur des Tributes : 4 voix pour une Légende | ONE NIGHT OF QUEEN",5,correct,Plusieurs concerts à venir sont proposés avec des informations précises.
Quelles expositions sont disponibles à Paris ?,exposition,"Voici les expositions disponibles à Paris parmi les événements proposés :

1. **Les expositions** (Cité des sciences et de l'Industrie)
   - **Dates** : 23 septembre 2025 – 24 octobre 2027
   - **Lieu** : Cité des sciences et de l'Industrie, 30 avenue Corentin Cariou, 75019 Paris
   - **Thèmes** : Sciences, médecine, environnement, innovation, etc.

2. **Exposition ""Des photographies aux Archives : pour quoi faire ?""** (Archives de Paris)
   - **Dates** : 18 septembre – 24 décembre 2026
   - **Lieu** : Archives de Paris, 18 Boulevard Sérurier, 75019 Paris
   - **Visites guidées** : 19 et 20 septembre (Journées européennes du patrimoine)

3. **Prix Photo Sociale : exposition lauréats 2026** (Mairie du 10ème arrondissement)
   - **Dates** : 27 novembre 2026 – 9 janvier 2027
   - **Lieu** : Mairie du 10ème, 72 rue du Faubourg Saint-Martin, 75010 Paris
   - **Vernissage** : 26 novembre à 18h

4. **Paris, je t'aime** (Atelier Gustave)
   - **Dates** : 14 – 20 septembre 2026
   - **Lieu** : Atelier Gustave, Paris 14ème

5. **Exposition - Jean-Kenta Gauthier** (Galerie Jean-Kenta Gauthier)
   - **Dates** : 12 septembre – 19 décembre 2026
   - **Lieu** : 4 rue de la Procession, 75015 Paris","Les expositions | Exposition ""Des photographies aux Archives : pour quoi faire ?"" | Prix Photo Sociale : exposition lauréats 2026 | Paris, je t'aime | Exposition - Jean-Kenta Gauthier",5,correct,Plusieurs expositions parisiennes pertinentes sont identifiées avec dates et lieux.
Je cherche une activité culturelle pour des enfants.,famille,"Voici les événements culturels pour enfants disponibles dans le contexte :

1. **Ateliers d'initiation à la boulangerie pour enfants**
   - **Date** : Samedi 19 septembre
   - **Lieu** : Syndicat des Boulangers du Grand Paris
   - **Public** : Enfants de 7 à 15 ans

2. **Jeux et activités pour enfants autour de l'histoire de Paris**
   - **Dates** : 19 et 20 septembre
   - **Lieu** : Archives de Paris, 18 Boulevard Sérurier, 75019 Paris
   - **Public** : Enfants (activités adaptées aux plus jeunes)

3. **Ciné-concert pour enfant / Cartoon’est pas si mal !**
   - **Date** : Dimanche 20 septembre, 15h00
   - **Lieu** : JASS CLUB, 141 Rue de Tolbiac, Paris
   - **Public** : Enfants de 2 à 8 ans","COMPLET // Ateliers d'initiation à la boulangerie pour enfants | Jeux et activités pour enfants autour de l'histoire de Paris | Nanoulak, l'ours qui danse | Ciné-concert pour enfant / Cartoon’est pas si mal ! | Ciné-concert pour enfant / Cartoon’est pas si mal !",5,correct,Les activités proposées sont adaptées aux enfants et les âges sont précisés lorsque disponibles.
Quels événements puis-je voir dans un musée ?,musee,"Voici les événements pertinents à voir dans un musée :

1. **Visite guidée : les objets insolites du musée**
   - **Date** : Samedi 19 septembre
   - **Lieu** : Musée Carnavalet - histoire de Paris (23 Rue de Sévigné, 75003 Paris)
   - **Description** : Découverte d'objets historiques insolites à travers une visite guidée.

2. **Jeu de piste pour petits et grands**
   - **Date** : 19 et 20 septembre
   - **Lieu** : Petit Palais
   - **Description** : Jeu de piste dans les coulisses du musée pour découvrir les défis de préservation du patrimoine.

3. **Visite libre des collections du musée**
   - **Date** : 19 et 20 septembre
   - **Lieu** : Musée national Jean-Jacques Henner (43 Avenue de Villiers, 75017 Paris)
   - **Description** : Visite libre des collections et de l'hôtel particulier, avec une exposition-dossier ""Portraits de famille"".

4. **Visite libre des collections du musée**
   - **Date** : 19 et 20 septembre
   - **Lieu** : Musée national Gustave Moreau (14 Rue Catherine de la Rochefoucauld, 75009 Paris)
   - **Description** : Visite libre des collections et de l'hôtel particulier.",Visite guidée : les objets insolites du musée | Visites Spectacles : découvrez Paris comme vous ne l’avez jamais vu | Jeu de piste pour petits et grands | Visite libre des collections du musée | Visite libre des collections du musée,5,correct,Les événements proposés ont bien lieu dans des musées et correspondent à la demande.
Je cherche un spectacle à Paris.,spectacle,"Voici les événements pertinents pour un spectacle à Paris :

1. **Visites Spectacles : découvrez Paris comme vous ne l’avez jamais vu**
   - **Dates** : 28 mars - 27 décembre
   - **Lieu** : Visites Spectacles
   - **Type** : Visites immersives mêlant histoire, légendes et théâtre (plusieurs parcours disponibles).

2. **Imugi l’apprenti dragon**
   - **Dates** : 28 juillet - 31 août
   - **Lieu** : Théâtre Darius Milhaud, Paris
   - **Type** : Spectacle de théâtre d'ombres coréen pour enfants (à partir de 3 ans).

3. **Spectacle déambulatoire ""Chercheuses et Inventrices""**
   - **Date** : Samedi 19 septembre, 15h30
   - **Lieu** : Départ du Parc Aretha-Franklin (72, rue Louis Lumière, 75020 Paris)
   - **Type** : Spectacle poétique et scientifique mettant en lumière les femmes inventrices.

4. **Ciné-concert pour enfant / Cartoon’est pas si mal !**
   - **Date** : Dimanche 18 octobre, 15h00
   - **Lieu** : JASS CLUB (141 Rue de Tolbiac, Paris)
   - **Type** : Ciné-concert musical pour enfants (dès 2 ans).

5. **LES CRIS DE PARIS - Sù!**
   - **Date** : Mardi 24 novembre, 20h00
   - **Lieu** : La Philharmonie de Paris (221 avenue Jean-Jaurès, 75019 Paris)
   - **Type** : Spectacle musical mêlant cris, madrigaux et ballet.","Visites Spectacles : découvrez Paris comme vous ne l’avez jamais vu | Imugi l’apprenti dragon | Spectacle déambulatoire ""Chercheuses et Inventrices"" | Ciné-concert pour enfant / Cartoon’est pas si mal ! | LES CRIS DE PARIS - Sù!",5,correct,"Plusieurs spectacles à Paris sont proposés avec des types, dates et lieux variés."
Quels événements gratuits sont disponibles ?,gratuit,"Voici les événements gratuits disponibles dans le contexte fourni :

1. **A Fond les Manettes, Mode Prévention Activé !**
   - **Date** : Mercredi 7 octobre, à partir de 13h30
   - **Lieu** : CIDJ à Quartier Jeunes
   - **Public** : Ouvert à tous les publics (entrée libre)

2. **Zoom : si c'est gratuit c'est vous le produit !**
   - **Dates** : Du 25 avril au 26 septembre 2026 (certains samedis)
   - **Lieu** : Cité des sciences et de l'Industrie, 30 avenue Corentin Cariou, 75019 Paris
   - **Public** : À partir de 10 ans

3. **Visite à l'Institut National des Jeunes Aveugles**
   - **Date** : Samedi 19 septembre 2026
   - **Lieu** : Institut National des Jeunes Aveugles, 56 Boulevard des Invalides, 75007 Paris
   - **Public** : Ouvert à tous (sans inscription)

Les autres événements ne sont pas gratuits ou ne précisent pas cette information.","Paris sous les étoiles - Parc Georges Brassens (Paris 15) | A Fond les Manettes, Mode Prévention Activé ! | Zoom : si c'est gratuit c'est vous le produit ! | Visites Spectacles : découvrez Paris comme vous ne l’avez jamais vu | Visite à l'Institut National des Jeunes Aveugles",5,partial,"Les événements semblent pertinents, mais le caractère gratuit n'est pas toujours explicitement démontré dans la réponse."
Que puis-je faire à Paris ce week-end ?,date,"Voici les événements pertinents pour ce week-end (29 et 30 août 2026) à Paris :

1. **Paris sous les étoiles - Parc Georges Brassens**
   - **Date** : Samedi 29 août, 21h00
   - **Lieu** : Parc Georges Brassens (Paris 15)

2. **Qui Veut Pister Paris : vivez une enquête grandeur nature dans les rues de la capitale**
   - **Date** : Tous les week-ends (dont ce week-end)
   - **Lieu** : Qui Veut Pister
   - **Horaires** : Départs à 14h30 et/ou 15h00 (sur réservation)

3. **Visites Spectacles : découvrez Paris comme vous ne l’avez jamais vu**
   - **Date** : Tous les week-ends (dont ce week-end)
   - **Lieu** : Visites Spectacles
   - **Horaires** : Variables selon les scénarios (souvent en journée ou début d’après-midi)

*Les autres événements ne sont pas programmés ce week-end.*","Qui Veut Pister Paris : vivez une enquête grandeur nature dans les rues de la capitale | Visites Spectacles : découvrez Paris comme vous ne l’avez jamais vu | Paris sous les étoiles - Parc Georges Brassens (Paris 15) | Capturer l'évolution des paysages de Paris | Visite guidée de l'Hôtel Dieulafoy, siège de la Délégation Territoriale de la Croix-Rouge à Paris",5,correct,La réponse tient compte du week-end demandé et sélectionne des événements correspondant aux 29 et 30 août 2026.
Je cherche une activité culturelle en septembre.,date,"Voici les événements culturels pertinents pour septembre :

1. **Parcours de sensibilisation à la culture Sourde**
   - **Date** : Samedi 19 septembre (12h15 ou 15h30)
   - **Lieu** : International Visual Théâtre, 7 Cité Chaptal, 75009 Paris

2. **Les Pavillons de Bercy, lieu de mémoire vivante de la culture foraine**
   - **Date** : Samedi 19 septembre (11h30)
   - **Lieu** : Pavillons de Bercy - Musée des Arts Forains, 53 avenue des Terroirs-de-France, 75012 Paris

3. **À la découverte du patrimoine culturel de l'Indonésie à l'Ambassade de la République d'Indonésie**
   - **Date** : Samedi 19 septembre (10h00)
   - **Lieu** : Ambassade de la République d'Indonésie, 47 rue Cortambert, 75116 Paris

4. **Atelier Photographie (prise de vue) - Regards sur le patrimoine parisien**
   - **Date** : Samedi 19 septembre (09h00 ou 13h00)
   - **Lieu** : Centre culturel André Malraux - Paris Ateliers, 112 rue de Rennes, 75006 Paris","Parcours de sensibilisation à la culture Sourde | Les Pavillons de Bercy, lieu de mémoire vivante de la culture foraine. | À la découverte du patrimoine culturel de l'Indonésie à l'Ambassade de la République d'Indonésie | Professionnels du spectacle / Je renforce la visibilité de mon site en approfondissant ma connaissance du SEO | Atelier Photographie (prise de vue) - Regards sur le patrimoine parisien",5,correct,Plusieurs activités culturelles ayant lieu en septembre sont correctement proposées.
Peux-tu me recommander un restaurant japonais à Lyon ?,hors_perimetre,Je ne dispose pas d'information sur des restaurants japonais à Lyon dans le contexte fourni. Les événements listés concernent uniquement Paris et ses alentours.,"Découverte d'un atelier de conservation-restauration du patrimoine | Rencontre autour du recueil de poésie taïwanaise « Les Joues en feu » | Samedi, ça me dit de conter – 17 octobre 2026 Sur le fil de la parole japonaise | Exposition : ""La tournée"" | Travaux de restauration à Paris-Gare de Lyon. SNCF Gares & Connexions au chevet de la façade historique qui retrouvera bientôt son visage d'antan",5,correct,Le système reconnaît que la demande est hors périmètre et refuse d'inventer une recommandation.
