question,category,expected_scope,expected_behavior
"Quels concerts de jazz sont disponibles à Paris ?","concert","in_scope","Proposer des concerts ou événements liés au jazz à Paris à partir des événements disponibles."
"Quels concerts puis-je voir prochainement ?","concert","in_scope","Proposer des concerts à venir à Paris à partir des événements disponibles."
"Quelles expositions sont disponibles à Paris ?","exposition","in_scope","Proposer des expositions disponibles à Paris à partir des événements disponibles."
"Je cherche une activité culturelle pour des enfants.","famille","in_scope","Proposer des événements ou activités culturelles adaptés aux enfants à Paris."
"Quels événements puis-je voir dans un musée ?","musee","in_scope","Proposer des événements culturels se déroulant dans un musée à Paris."
"Je cherche un spectacle à Paris.","spectacle","in_scope","Proposer des spectacles disponibles à Paris à partir des événements disponibles."
"Quels événements gratuits sont disponibles ?","gratuit","in_scope","Proposer des événements indiqués comme gratuits lorsque cette information est disponible dans les données."
"Que puis-je faire à Paris ce week-end ?","date","in_scope","Proposer des événements culturels à Paris correspondant à la période du week-end demandée."
"Je cherche une activité culturelle en septembre.","date","in_scope","Proposer des événements culturels à Paris correspondant à la période de septembre demandée."
"Peux-tu me recommander un restaurant japonais à Lyon ?","hors_perimetre","out_of_scope","Indiquer que la demande est hors du périmètre de l'assistant et ne pas inventer de recommandation de restaurant."
